index,asciiname,population,latitude,longitude
347,Vidigueira,5932,38.20995,-7.8005
348,Arazede,5906,40.28627,-8.64999
349,Aljezur,5884,37.31745,-8.80147
350,Bombarral,5852,39.26723,-9.15795
351,Vila Nova da Telha,5848,41.0717,-8.64146
352,Redondo,5845,38.64872,-7.54708
353,Odemira,5830,37.59798,-8.63972
354,Vieira de Leiria,5807,39.86945,-8.93238
355,Marinhais,5788,39.0473,-8.70236
356,Monte Real,5756,39.8521,-8.86349
357,Boticas,5750,41.68939,-7.66914
358,Caldelas,5724,41.67101,-8.38148
359,Caldas das Taipas,5723,41.48465,-8.3485
360,Oleiros,5721,39.91893,-7.9137
361,Olival,5715,41.05024,-8.54416
362,Sernancelhe,5671,40.89871,-7.49342
363,Serta,5636,39.80205,-8.09589
364,Branca,5632,40.76653,-8.48262
365,Lamas,5628,40.98597,-8.56923
366,Moreira de Conegos,5607,41.3868,-8.3394
367,Trafaria,5603,38.67222,-9.23268
368,Carregal do Sal,5600,40.43333,-8
369,Sao Roque,5575,40.87216,-8.47149
370,Barrosas,5573,41.35534,-8.29943
371,Vilela,5540,41.22511,-7.60338
372,Poiares,5514,40.21026,-8.25746
373,Pataias,5510,39.66978,-8.9958
374,Aguiar da Beira,5473,40.81726,-7.54431
375,Riachos,5463,39.44472,-8.5142
376,Urgeses,5457,41.4272,-8.29796
377,Monchique,5421,37.31775,-8.55529
378,Sao Miguel do Couto,5416,41.33167,-8.46185
379,Galegos,5404,41.56268,-8.57204
